sku,itemName,type,origin,initialstock,current Stock,uom,size,remark ,image,Last Update 
FBC51,GLASS CLEANER ,Material,DXB,4,4,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-18%2014_20_20_Field_27.jpg?alt=media&token=e80b7b04-32da-4b4c-9051-ced9e1a256c0,
FBC52,GLASS SPACER,Material,DXB,84,44,PCS,19x25 mm,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-09%2012_55_29_Field_34.jpg?alt=media&token=b7ccb6d4-c06b-45f9-ab4b-dff80f097367,05/10/2025 18:00:34
FBC53,HAGER RCCB OR RCB - MCB,Material,DXB,2,2,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2010_36_15_Field_27.jpg?alt=media&token=88776080-1328-4197-8e7e-278b0601194e,
FBC241,HAMMER CHISEL MESH PLASTIC BUCKET WITH CHISEL AND BITS,Tool,DXB,1,1,PACK,,,Inventory_Images/FBC241.Image.103428.jpg,10/10/2025 11:39:32
CR706213,SLEDGE HAMMER 1.351KG,Tool,DXB,2,0,PCS,1.351 kg,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_14_48_Field_27.jpg?alt=media&token=79a19af9-6ba6-471a-8407-262abd6ee54e,06/10/2025 01:39:19
CR706226,SLEDGE HAMMER CRAFTRIGHT 3.6KG,Tool,DXB,2,0,PCS,3.6 kg,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_15_59_Field_27.jpg?alt=media&token=2cd19eb4-873b-4d3e-bfb1-529415ed8e2e,06/10/2025 01:40:03
FBC208,HAND SIDE SCRAPER 2 INCH,Tool,DXB,2,1,PCS,2 inch,,Inventory_Images/FBC208.Image.073916.jpg,03/10/2025 07:05:34
FBC207,HAND SIDE SCRAPER 4 INCH 1.1MM BLADE,Tool,DXB,1,0,PCS,4 inch,,Inventory_Images/FBC207.Image.073651.jpg,03/10/2025 07:05:39
HELI35,HELI FORKLIFT 3.5 TON,Plant ,DXB,0,1,PCS,3.5 ton,,Inventory_Images/HELI35.Image.104547.jpg,04/10/2025 15:57:14
41250,HILTI C 412-50 115V BATTERY CHARGER,Tool,DXB,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_815_Field_34.jpg?alt=media&token=620aa433-40b7-4f73-b61a-366aec1fdb5a,04/10/2025 15:57:34
TE2000AVR,HILTI DEMOLITION HAMMER + 4 BIT,Tool,DXB,1,0,PCS,,WITH 4 BIT,Inventory_Images/TE2000AVR.Image.064052.jpg,08/10/2025 08:01:27
FBC59,HILTI DG150 CONCRETE GRINDER,Tool,SYD,2,2,PCS,,BOTH NOT WORKING,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_33_57_Field_27.jpg?alt=media&token=dc9c5386-a877-456c-868b-8ba0be75032c,
PM50MG22,HILTI LEVEL LASER WITH BATTERY AND CHARGER PM50 MG-22 ,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC60.Image.230329.jpg,25/09/2025 09:09:41
FBC61,HILTI PRA 20 ROTATING LASER RECEIVER FBC,Tool,DXB,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2015_08_00_Field_34.jpg?alt=media&token=273f3774-9b9e-41bd-9cc2-90ba1cd735cc,
TE70ATC,HILTI ROTARY HAMMER DRILL  TE 70 ATC/AVR,Tool,SYD,1,1,PCS,,NOT WORKING,Inventory_Images/FBC62.Image.133203.jpg,
G23SE2,HITACHI ANGLE GRINDER 230MM,Tool,DXB,1,0,PCS,230 mm,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-18%2015_03_44_Field_27.jpg?alt=media&token=0370980a-d6c1-4b5f-8625-ba12c72b022e,02/10/2025 23:20:40
FBC65,"HOLESAW XTORQUE SET 11 SAW, 3 BIT, 2 BIT EXTENSION",Bit,SYD,1,1,BOX,,11 pcs,Inventory_Images/FBC65.Image.065110.jpg,02/10/2025 10:52:44
FBC66,HUSQVARNA BLOWER,Tool,SYD,1,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2016_08_33_Field_27.jpg?alt=media&token=5b38f34a-76f7-4dc1-b955-74c72d475512;https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2016_09_40_Field_27.jpg?alt=media&token=85fc40e0-4718-44df-8e97-3b1f14aefee6,02/10/2025 23:18:29
FBC67,"HUSQVARNA CONCRETE SAW K970 4.8kW 400MM (16"")",Tool,DXB,2,0,PCS,"400 mm 16""",,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2011_56_06_Field_34.jpg?alt=media&token=4a37b051-606a-4905-8e04-4071a0a3bec9,08/10/2025 08:26:59
DM220,HUSQVARNA CORE HOLE MACHINE,Tool,DXB,1,1,,,,Inventory_Images/DM220.Image.084435.jpg,24/09/2025 12:44:34
FBC232,IN-NOVA COMFORT BUILT-IN COOKER HOOD SS (900x320x340 mm),Tool,DXB,0,1,PCS,900x320x340 mm,,Inventory_Images/default.jpg,02/10/2025 17:34:34
FBC296,INDUSTRIAL PLUG FEMALE,Tool,DXB,7,4,PCS,,,Inventory_Images/FBC296.Image.090608.jpg,08/10/2025 10:51:44
FBC297,INDUSTRIAL PLUG 3 WAY,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC297.Image.110735.jpg,02/10/2025 15:07:44
JWA002,J-WA-002 GUEST BATHROOM (700x500x150 mm),Material ,DXB,0,1,PCS,700x500x150 mm,,Inventory_Images/default.jpg,02/10/2025 17:33:07
JWA003,J-WA-003 WASHROOM POWER ROOM (1450x500x150 mm),Material ,DXB,0,1,PCS,1450x500x150 mm,,Inventory_Images/default.jpg,02/10/2025 17:31:15
JWA004,J-WA-004 WASHROOM POWER ROOM (1740x500x150 mm),Material ,DXB,0,1,PCS,1740x500x150 mm,,Inventory_Images/default.jpg,02/10/2025 17:31:39
JWA006,J-WA-006 JUNIOR SUITE 1 (1410x500x150 mm),Material ,DXB,0,1,PCS,1410x500x150 mm,,Inventory_Images/default.jpg,02/10/2025 17:31:55
JWA007,J-WA-007 JUNIOR SUITE 2 (740x500x150 mm),Material ,DXB,0,1,PCS,740x500x150 mm,,Inventory_Images/default.jpg,02/10/2025 17:32:19
JWA008,J-WA-008 JUNIOR SUITE 3 (990x500x150 mm),Material ,DXB,0,1,PCS,990x500x150 mm,,Inventory_Images/default.jpg,02/10/2025 17:32:40
FBC03,JOBSITE TOOL BOX BLUE,Tool,DXB,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2011_01_54_Field_27.jpg?alt=media&token=4255af73-9f9e-4ffc-9230-1e15b8c5078e,01/10/2025 08:58:26
